Shape ,Sliding Direction Length (mm),Pressure (MPa),Velocity (mm/s),Second Moment of Area (mm^4),Tread Height (mm),Structural Stiffness (N/m),Static CoF,Dynamic CoF
2,10,0.1,10,833.34,10,63915.011,0.879,0.801
2,10,0.1,10,833.34,10,63915.011,0.842,0.765
2,10,0.1,10,833.34,5,511320.091,1.151,0.834
2,10,0.1,10,833.34,5,511320.091,0.972,0.851
2,10,0.1,10,833.34,5,511320.091,0.99,0.846
2,10,0.1,10,833.34,5,511320.091,0.872,0.833
2,10,0.1,10,833.34,5,511320.091,0.957,0.829
3,5,0.1,10,208.34,10,15979.136,0.868,0.893
3,5,0.1,10,208.34,10,15979.136,0.783,0.885
3,5,0.1,10,208.34,10,15979.136,0.803,0.872
3,5,0.1,10,208.34,10,15979.136,0.901,0.864
3,5,0.1,10,208.34,5,127833.091,0.821,0.953
3,5,0.1,10,208.34,5,127833.091,0.873,0.919
3,5,0.1,10,208.34,5,127833.091,0.893,0.9
1,20,0.1,10,3333.34,10,255658.511,1.026,0.75
1,20,0.1,10,3333.34,10,255658.511,1.009,0.799
1,20,0.1,10,3333.34,5,2045268.091,1.052,0.765
1,20,0.1,10,3333.34,5,2045268.091,0.89,0.748
1,20,0.1,10,3333.34,5,2045268.091,0.926,0.771
1,20,0.1,10,3333.34,5,2045268.091,0.95,0.773
2,10,0.2,10,833.34,5,511320.091,1.035,0.831
2,10,0.2,10,833.34,5,511320.091,0.799,0.854
2,10,0.2,10,833.34,5,511320.091,1.006,0.852
3,5,0.2,10,208.34,5,127833.091,0.988,0.871
3,5,0.2,10,208.34,5,127833.091,0.986,0.858
3,5,0.2,10,208.34,5,127833.091,1.05,0.855
1,20,0.2,10,3333.34,5,2045268.091,1.019,0.768
1,20,0.2,10,3333.34,5,2045268.091,1.045,0.779
1,20,0.2,10,3333.34,5,2045268.091,0.944,0.783
1,20,0.2,10,3333.34,5,2045268.091,1.025,0.775
1,20,0.2,10,3333.34,5,2045268.091,1.023,0.793
2,10,0.1,0.5,833.34,5,511320.091,0.921,0.754
2,10,0.1,0.5,833.34,5,511320.091,0.863,0.759
2,10,0.1,0.5,833.34,5,511320.091,0.918,0.756
3,5,0.1,0.5,208.34,5,127833.091,0.804,0.812
3,5,0.1,0.5,208.34,5,127833.091,0.8,0.803
3,5,0.1,0.5,208.34,5,127833.091,0.922,0.803
1,20,0.1,0.5,3333.34,5,2045268.091,0.847,0.723
1,20,0.1,0.5,3333.34,5,2045268.091,0.813,0.728
1,20,0.1,0.5,3333.34,5,2045268.091,0.837,0.725
2,10,0.1,0.5,833.34,10,63915.011,1.028,0.738
2,10,0.1,0.5,833.34,10,63915.011,0.8,0.784
2,10,0.1,0.5,833.34,10,63915.011,0.95,0.756
3,5,0.1,0.5,208.34,10,15979.136,0.918,0.862
3,5,0.1,0.5,208.34,10,15979.136,0.66,0.809
3,5,0.1,0.5,208.34,10,15979.136,0.899,0.838
1,20,0.1,0.5,3333.34,10,255658.511,0.918,0.719
1,20,0.1,0.5,3333.34,10,255658.511,0.821,0.717
1,20,0.1,0.5,3333.34,10,255658.511,0.797,0.717
2,10,0.2,0.5,833.34,5,511320.091,0.993,0.802
2,10,0.2,0.5,833.34,5,511320.091,0.912,0.85
2,10,0.2,0.5,833.34,5,511320.091,0.919,0.839
3,5,0.2,0.5,208.34,5,127833.091,0.845,0.8
3,5,0.2,0.5,208.34,5,127833.091,0.852,0.793
3,5,0.2,0.5,208.34,5,127833.091,0.729,0.795
1,20,0.2,0.5,3333.34,5,2045268.091,0.994,0.744
1,20,0.2,0.5,3333.34,5,2045268.091,0.767,0.629
1,20,0.2,0.5,3333.34,5,2045268.091,0.823,0.728
